"2025-06-11 00:00:00","Veldgrootte Lichtveld","Mechanische parameters","Linac1"
"2025-06-11 00:00:00","Botsbeveiliging","Veiligheids- en instelsystemen","Linac1"
"2025-06-11 00:00:00","Lasers","Mechanische parameters","Linac1"
"2025-06-11 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac1"
"2025-06-11 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac1"
"2025-06-10 00:00:00","Ketentest CMA/XVI (met MIMI)","Verificatie/Imaging","Linac2"
"2025-06-10 00:00:00","Bundelas (Draadkruis)","Mechanische parameters","Linac2"
"2025-06-10 00:00:00","Veldvlakheid en veldsymmetrie grootste veld","Elektronenbundels","Linac3"
"2025-06-10 00:00:00","Kwaliteit van de electronenbundel R80% bij gantryhoek 0","Elektronenbundels","Linac3"
"2025-06-10 00:00:00","Veldsymmetrie en Veldvlakheid","Fotonenbundels","Linac3"
"2025-06-09 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac3"
"2025-06-09 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac3"
"2025-06-09 00:00:00","Lasers","Mechanische parameters","Linac3"
"2025-06-04 00:00:00","Koelwaterdruk","Systeem","Linac5"
"2025-06-04 00:00:00","Catphan <a href=c1.php>L1</a>,<a href=c2.php>L2</a>,<a href=c3.php>L3</a>,<a href=c4.php>L4</a>","Verificatie/Imaging","Linac5"
"2025-06-04 00:00:00","Toegangsbeveiligingen","Veiligheids- en instelsystemen","Linac5"
"2025-06-04 00:00:00","Botsbeveiliging","Veiligheids- en instelsystemen","Linac5"
"2025-06-04 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Gasdruk","Systeem","Linac5"
"2025-06-04 00:00:00","Leaf Speed","VMAT","Linac5"
"2025-06-04 00:00:00","Botsbeveiliging","Veiligheids- en instelsystemen","Linac5"
"2025-06-04 00:00:00","Bundelas (Draadkruis)","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Lasers","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac5"
"2025-06-04 00:00:00","Vacuum","Systeem","Linac5"
"2025-06-04 00:00:00","Fully Dynamic Test (logfile viewer)","VMAT","Linac5"
"2025-06-04 00:00:00","Accessoires","Veiligheids- en instelsystemen","Linac5"
"2025-06-04 00:00:00","Lasers","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Veldgrootte Lichtveld","Mechanische parameters","Linac5"
"2025-06-04 00:00:00","Ball Bearing","Verificatie/Imaging","Linac5"
"2025-06-04 00:00:00","Veldgrootte Lichtveld","Mechanische parameters","Linac5"
"2025-06-03 00:00:00","Botsbeveiliging","Veiligheids- en instelsystemen","Linac3"
"2025-06-03 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac3"
"2025-06-03 00:00:00","Vacuum","Systeem","Linac3"
"2025-06-03 00:00:00","Catphan <a href=c1.php>L1</a>,<a href=c2.php>L2</a>,<a href=c3.php>L3</a>,<a href=c4.php>L4</a>","Verificatie/Imaging","Linac1"
"2025-06-03 00:00:00","Gasdruk","Systeem","Linac3"
"2025-06-03 00:00:00","Koelwaterdruk","Systeem","Linac3"
"2025-06-03 00:00:00","Ball Bearing","Verificatie/Imaging","Linac1"
"2025-06-02 00:00:00","Check onderhoud","Controle Onderhoud","Ultimo chk"
"2025-05-30 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac2"
"2025-05-30 00:00:00","Evenredigheid","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Invloed van de gantryhoek","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Veldgrootte Lichtveld","Mechanische parameters","Linac2"
"2025-05-30 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac2"
"2025-05-30 00:00:00","Botsbeveiliging","Veiligheids- en instelsystemen","Linac2"
"2025-05-30 00:00:00","Koelwaterdruk","Systeem","Linac2"
"2025-05-30 00:00:00","Invloed van gantryrotatie","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Invloed veldvorm (Beamscan)","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Vacuum","Systeem","Linac2"
"2025-05-30 00:00:00","Reproduceerbaarheid <a href=d1.php>L1</a>,<a href=d2.php>L2</a>,<a href=d3.php>L3</a>,<a href=d4.php>L4</a>","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Invloed van dosistempo","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Gasdruk","Systeem","Linac2"
"2025-05-30 00:00:00","Output Controle: <a href=1.php>L1</a>,<a href=2.php>L2</a>,<a href=3.php>L3</a>,<a href=4.php>L4</a>","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Invloed veldvorm (Beamscan)","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac2"
"2025-05-30 00:00:00","Invloed van de diafragmahoek","Dosismonitorsysteem","Linac2"
"2025-05-30 00:00:00","Lasers","Mechanische parameters","Linac2"
"2025-05-30 00:00:00","Stabiliteit van kalibratie","Dosismonitorsysteem","Linac2"
"2025-05-29 00:00:00","Agility MLC Calibratie","Fotonenbundels","Linac3"
"2025-05-29 00:00:00","Output Controle: <a href=1.php>L1</a>,<a href=2.php>L2</a>,<a href=3.php>L3</a>,<a href=4.php>L4</a>","Dosismonitorsysteem","Linac3"
"2025-05-29 00:00:00","Nominal Dose Rate","VMAT","Linac3"
"2025-05-29 00:00:00","Veldgrootte Lichtveld","Mechanische parameters","Linac3"
"2025-05-27 00:00:00","Lasers","Mechanische parameters","Linac1"
"2025-05-27 00:00:00","Optische afstandsmeter","Mechanische parameters","Linac1"
"2025-05-27 00:00:00","Lichtveldfotonenveld 1 veld per kwaliteit","Fotonenbundels","Linac1"
"2025-05-27 00:00:00","Isocentrum positie","Mechanische parameters","Linac1"
"2025-05-27 00:00:00","Output Controle: <a href=1.php>L1</a>,<a href=2.php>L2</a>,<a href=3.php>L3</a>,<a href=4.php>L4</a>","Dosismonitorsysteem","Linac1"
"2025-05-27 00:00:00","Nominal Dose Rate","VMAT","Linac1"
