"0","Unknown item","0","0"
"1","Calibration block identification","0","0"
"2","State control","0","0"
"3","Segment control command","0","0"
"4","Execute automatic","0","0"
"5","Pipeline control","0","0"
"6","Pipeline status","0","0"
"7","Execution mode","0","0"
"8","Auto set status","0","0"
"9","Arc/Static","0","0"
"10","Next page button 1 set","0","0"
"11","Next page button 2 set","0","0"
"12","Next page button 3 set","0","0"
"13","Room lights button set","0","0"
"14","Lasers button set","0","0"
"15","Distance meter button set","0","0"
"16","Field defining button set","0","0"
"17","Center field button set","0","0"
"18","Touchguard override monitor","0","0"
"19","Next handheld controller item","0","0"
"20","Previous hand held controller item","0","0"
"21","Reset handheld controller function item to default","0","0"
"22","Enable <AUTO> button set","0","0"
"23","Fault reset keyswitch set","0","0"
"24","<START> key monitor","0","0"
"25","<INTERRUPT> key monitor","0","0"
"26","<TERMINATE> key monitor","0","0"
"27","Segment error","0","0"
"28","Reset request","0","0"
"29","Warm up complete","0","0"
"30","External terminate input","0","0"
"31","Radiation type","0","0"
"32","Energy code","0","0"
"33","Beam dose channel 1 monitor","0","0"
"34","Beam dose channel 2 monitor","0","0"
"35","Segment dose channel 1 monitor","0","0"
"36","Segment dose channel 2 monitor","0","0"
"37","Beam timer prescribed","0","0"
"38","Default nominal dose rate","1","0"
"39","Wedge in","0","0"
"40","Applicator type","0","0"
"41","Accessory fitment","0","0"
"42","Accessory number (shadow tray)","0","0"
"43","Nominal dose rate","0","0"
"44","Monitored dose rate channel 1","0","0"
"45","Monitored dose rate channel 2","0","0"
"46","Inhibit reason 1","0","0"
"47","Inhibit reason 2","0","0"
"48","Inhibit reason 3","0","0"
"49","Inhibit reason 4","0","0"
"50","Inhibit reason 5","0","0"
"51","Inhibit reason 6","0","0"
"52","Inhibit reason 7","0","0"
"53","Inhibit reason 8","0","0"
"54","Inhibit reason 9","0","0"
"55","Inhibit reason 10","0","0"
"56","Inhibit reason 11","0","0"
"57","Inhibit reason 12","0","0"
"58","Interrupt reason 1","0","0"
"59","Interrupt reason 2","0","0"
